episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,8.00,0.40
14,0.00,0.38
15,0.00,0.36
16,0.00,0.34
17,0.00,0.33
18,0.00,0.31
19,0.00,0.29
20,0.00,0.28
21,0.00,0.27
22,0.00,0.25
23,0.00,0.24
24,0.00,0.23
25,0.00,0.22
26,0.00,0.21
27,0.00,0.20
28,0.00,0.19
29,0.00,0.18
30,0.00,0.17
31,0.00,0.16
32,0.00,0.15
33,0.00,0.14
34,0.00,0.14
35,0.00,0.13
36,0.00,0.12
37,0.00,0.12
38,0.00,0.11
39,0.00,0.11
40,0.00,0.10
41,0.00,0.10
42,0.00,0.09
43,0.00,0.09
44,0.00,0.08
45,0.00,0.08
46,0.00,0.07
47,0.00,0.07
48,0.00,0.07
49,0.00,0.06
50,0.00,0.06
51,0.00,0.06
52,0.00,0.05
53,0.00,0.05
54,0.00,0.05
55,0.00,0.05
56,0.00,0.04
57,0.00,0.04
58,0.00,0.04
59,0.00,0.04
60,0.00,0.04
61,0.00,0.03
62,0.00,0.03
63,0.00,0.03
64,0.00,0.03
65,0.00,0.03
66,0.00,0.03
67,0.00,0.03
68,0.00,0.02
69,0.00,0.02
70,0.00,0.02
71,0.00,0.02
72,0.00,0.02
73,0.00,0.02
74,0.00,0.02
75,0.00,0.02
76,0.00,0.02
77,31.00,1.57
78,0.00,1.49
79,0.00,1.41
80,0.00,1.34
81,0.00,1.27
82,0.00,1.21
83,0.00,1.15
84,0.00,1.09
85,0.00,1.04
86,0.00,0.99
87,0.00,0.94
88,0.00,0.89
89,0.00,0.85
90,0.00,0.80
91,0.00,0.76
92,0.00,0.73
93,211.00,11.24
94,0.00,10.68
95,0.00,10.14
96,0.00,9.64
97,0.00,9.15
98,0.00,8.70
99,0.00,8.26
100,0.00,7.85
101,0.00,7.46
102,0.00,7.08
103,0.00,6.73
104,0.00,6.39
105,0.00,6.07
106,0.00,5.77
107,0.00,5.48
108,0.00,5.21
109,0.00,4.95
110,0.00,4.70
111,0.00,4.46
112,0.00,4.24
113,0.00,4.03
114,0.00,3.83
115,0.00,3.64
116,0.00,3.45
117,0.00,3.28
118,0.00,3.12
119,0.00,2.96
120,0.00,2.81
121,0.00,2.67
122,0.00,2.54
123,0.00,2.41
124,0.00,2.29
125,0.00,2.18
126,0.00,2.07
127,0.00,1.96
128,0.00,1.87
129,0.00,1.77
130,0.00,1.68
131,0.00,1.60
132,0.00,1.52
133,0.00,1.44
134,0.00,1.37
135,0.00,1.30
136,0.00,1.24
137,0.00,1.18
138,0.00,1.12
139,0.00,1.06
140,0.00,1.01
141,0.00,0.96
142,0.00,0.91
143,0.00,0.86
144,0.00,0.82
145,0.00,0.78
146,0.00,0.74
147,0.00,0.70
148,0.00,0.67
149,0.00,0.64
150,0.00,0.60
151,0.00,0.57
152,0.00,0.55
153,0.00,0.52
154,0.00,0.49
155,0.00,0.47
156,0.00,0.44
157,0.00,0.42
158,0.00,0.40
159,0.00,0.38
160,0.00,0.36
161,0.00,0.34
162,0.00,0.33
163,0.00,0.31
164,0.00,0.29
165,0.00,0.28
166,66.00,3.57
167,0.00,3.39
168,0.00,3.22
169,0.00,3.06
170,0.00,2.90
171,0.00,2.76
172,105.00,7.87
173,0.00,7.48
174,0.00,7.10
175,0.00,6.75
176,0.00,6.41
177,0.00,6.09
178,0.00,5.79
179,0.00,5.50
180,0.00,5.22
181,0.00,4.96
182,0.00,4.71
183,0.00,4.48
184,0.00,4.25
185,0.00,4.04
186,0.00,3.84
187,0.00,3.65
188,0.00,3.46
189,0.00,3.29
190,0.00,3.13
191,0.00,2.97
192,0.00,2.82
193,0.00,2.68
194,0.00,2.55
195,0.00,2.42
196,0.00,2.30
197,0.00,2.18
198,0.00,2.07
199,0.00,1.97
200,0.00,1.87
