episode,reward,avg_reward
20,8.00,0.40
40,0.00,0.14
60,0.00,1.72
80,0.00,9.57
100,0.00,3.43
120,0.00,1.23
140,0.00,0.44
160,0.00,0.16
180,0.00,0.06
200,0.00,0.02
220,0.00,0.01
240,0.00,3.04
260,0.00,1.09
280,0.00,0.39
300,0.00,0.14
320,0.00,1.13
340,0.00,13.44
360,0.00,4.82
380,0.00,1.73
400,0.00,1.43
420,0.00,0.51
440,0.00,0.22
460,0.00,0.08
480,0.00,0.03
500,0.00,0.01
520,0.00,0.00
540,0.00,0.00
560,0.00,1.80
580,0.00,0.64
600,0.00,0.23
620,0.00,0.08
640,0.00,0.03
660,0.00,0.01
680,0.00,0.00
700,0.00,0.00
720,0.00,0.00
740,0.00,0.00
760,0.00,0.00
780,0.00,0.00
800,0.00,5.20
820,0.00,1.86
840,0.00,0.67
860,0.00,8.49
880,0.00,3.04
900,0.00,1.09
920,0.00,0.39
940,0.00,0.14
960,0.00,0.05
980,64.00,3.22
1000,0.00,1.15
1020,0.00,0.41
1040,0.00,0.15
1060,0.00,0.05
1080,0.00,0.02
1100,0.00,0.01
1120,0.00,0.00
1140,0.00,0.00
1160,0.00,0.00
1180,0.00,0.00
1200,0.00,0.00
1220,0.00,0.00
1240,0.00,0.45
1260,0.00,0.16
1280,0.00,0.06
1300,0.00,9.71
1320,0.00,8.28
1340,0.00,9.68
1360,0.00,3.47
1380,0.00,1.24
1400,0.00,1.00
1420,0.00,0.36
1440,0.00,0.13
1460,0.00,1.19
1480,0.00,0.43
1500,0.00,6.95
1520,0.00,2.49
1540,0.00,0.89
1560,0.00,0.32
1580,0.00,2.26
1600,0.00,1.98
1620,0.00,0.71
1640,0.00,0.25
1660,0.00,0.09
1680,0.00,0.66
1700,0.00,0.24
1720,0.00,0.09
1740,0.00,0.03
1760,0.00,0.55
1780,0.00,0.20
1800,0.00,0.07
1820,0.00,0.03
1840,0.00,0.01
1860,0.00,0.00
1880,0.00,0.00
1900,0.00,0.00
1920,0.00,0.00
1940,0.00,0.00
1960,0.00,0.90
1980,0.00,0.32
2000,0.00,1.66
2020,0.00,0.68
2040,0.00,1.19
2060,0.00,0.43
2080,0.00,0.15
2100,0.00,0.06
2120,0.00,0.02
2140,0.00,0.29
2160,0.00,0.83
2180,0.00,0.74
2200,0.00,0.27
2220,0.00,0.33
